type,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,lastTradeDate,inTheMoney,mid,T,S0
call,SPY251219C00150000,150.0,487.34,492.04,495.55,3,721,0.991211025390625,2025-08-08 14:08:21+00:00,True,493.795,0.3452054794520548,643.4400024414062
call,SPY251219C00155000,155.0,482.23,487.1,490.57,2,140,0.9819337744140625,2025-08-08 14:08:21+00:00,True,488.83500000000004,0.3452054794520548,643.4400024414062
call,SPY251219C00160000,160.0,438.31,467.34,470.81,1,80,1.0000000000000003e-05,2025-06-18 20:03:24+00:00,True,469.075,0.3452054794520548,643.4400024414062
call,SPY251219C00165000,165.0,429.24,434.81,438.37,200,362,1.0000000000000003e-05,2025-05-19 14:00:52+00:00,True,436.59000000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00170000,170.0,428.48,457.99,461.43,40,78,1.0000000000000003e-05,2025-06-17 19:58:29+00:00,True,459.71000000000004,0.3452054794520548,643.4400024414062
call,SPY251219C00175000,175.0,456.05,467.41,470.72,2,672,0.9531254687499999,2025-08-06 14:50:32+00:00,True,469.06500000000005,0.3452054794520548,643.4400024414062
call,SPY251219C00180000,180.0,410.87,439.77,443.36,1,438,1.0000000000000003e-05,2025-05-30 14:49:36+00:00,True,441.565,0.3452054794520548,643.4400024414062
call,SPY251219C00185000,185.0,444.94,457.57,460.88,2,68,0.9418951123046875,2025-08-05 18:27:57+00:00,True,459.225,0.3452054794520548,643.4400024414062
call,SPY251219C00190000,190.0,432.71,452.65,455.97,1,66,0.9357916577148437,2025-07-16 15:49:47+00:00,True,454.31,0.3452054794520548,643.4400024414062
call,SPY251219C00195000,195.0,435.45,447.73,451.05,2,204,0.9279792358398438,2025-08-06 14:21:33+00:00,True,449.39,0.3452054794520548,643.4400024414062
call,SPY251219C00200000,200.0,430.3,442.81,446.13,92,189,0.9196785375976562,2025-08-05 18:28:09+00:00,True,444.47,0.3452054794520548,643.4400024414062
call,SPY251219C00205000,205.0,426.41,437.89,441.21,1,105,0.911133701171875,2025-08-05 14:21:32+00:00,True,439.54999999999995,0.3452054794520548,643.4400024414062
call,SPY251219C00210000,210.0,430.75,432.97,436.29,15,1190,0.9021005883789062,2025-08-12 14:48:48+00:00,True,434.63,0.3452054794520548,643.4400024414062
call,SPY251219C00215000,215.0,430.7,428.05,431.38,3,23,0.8933116137695312,2025-08-13 15:51:50+00:00,True,429.71500000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00220000,220.0,416.35,423.13,426.46,81,53,0.883790224609375,2025-08-07 14:16:40+00:00,True,424.79499999999996,0.3452054794520548,643.4400024414062
call,SPY251219C00225000,225.0,406.4,418.21,421.54,4,97,0.8740246972656249,2025-08-07 18:18:34+00:00,True,419.875,0.3452054794520548,643.4400024414062
call,SPY251219C00230000,230.0,405.04,413.29,416.63,81,345,0.8646253771972656,2025-08-07 14:48:21+00:00,True,414.96000000000004,0.3452054794520548,643.4400024414062
call,SPY251219C00235000,235.0,403.06,408.38,411.71,2,233,0.8551039880371094,2025-08-08 14:16:28+00:00,True,410.04499999999996,0.3452054794520548,643.4400024414062
call,SPY251219C00240000,240.0,396.86,403.46,406.8,40,209,0.8454605297851561,2025-08-07 14:15:05+00:00,True,405.13,0.3452054794520548,643.4400024414062
call,SPY251219C00245000,245.0,389.41,398.54,401.89,2,175,0.835695002441406,2025-08-07 15:33:39+00:00,True,400.21500000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00250000,250.0,388.1,393.63,396.97,42,239,0.8258074060058591,2025-08-08 15:01:29+00:00,True,395.3,0.3452054794520548,643.4400024414062
call,SPY251219C00255000,255.0,379.34,388.72,392.06,2,227,0.8161639477539062,2025-08-07 15:34:01+00:00,True,390.39,0.3452054794520548,643.4400024414062
call,SPY251219C00260000,260.0,378.36,383.8,387.15,4,397,0.8062763513183593,2025-08-08 14:16:36+00:00,True,385.475,0.3452054794520548,643.4400024414062
call,SPY251219C00265000,265.0,374.11,378.89,382.23,2,238,0.7962666857910157,2025-08-07 13:36:43+00:00,True,380.56,0.3452054794520548,643.4400024414062
call,SPY251219C00270000,270.0,371.23,373.97,377.32,12,327,0.7862570202636718,2025-08-12 13:33:34+00:00,True,375.645,0.3452054794520548,643.4400024414062
call,SPY251219C00275000,275.0,361.1,369.06,372.41,82,397,0.776491492919922,2025-08-07 14:48:03+00:00,True,370.735,0.3452054794520548,643.4400024414062
call,SPY251219C00280000,280.0,360.36,364.15,367.5,80,418,0.766725965576172,2025-08-11 16:45:21+00:00,True,365.825,0.3452054794520548,643.4400024414062
call,SPY251219C00285000,285.0,358.86,359.24,362.6,2,481,0.7572045764160158,2025-08-12 15:42:44+00:00,True,360.92,0.3452054794520548,643.4400024414062
call,SPY251219C00290000,290.0,357.9,354.33,357.69,2,180,0.7473780145263673,2025-08-14 14:56:55+00:00,True,356.01,0.3452054794520548,643.4400024414062
call,SPY251219C00295000,295.0,345.57,349.42,352.78,181,279,0.7375514526367187,2025-08-11 16:44:56+00:00,True,351.1,0.3452054794520548,643.4400024414062
call,SPY251219C00300000,300.0,346.52,344.51,347.88,2,313,0.7280300634765625,2025-08-14 15:32:10+00:00,True,346.195,0.3452054794520548,643.4400024414062
call,SPY251219C00305000,305.0,341.64,339.6,342.97,2,262,0.7182035015869142,2025-08-14 16:10:38+00:00,True,341.285,0.3452054794520548,643.4400024414062
call,SPY251219C00310000,310.0,337.92,334.69,338.06,4,200,0.7083769396972657,2025-08-14 18:48:35+00:00,True,336.375,0.3452054794520548,643.4400024414062
call,SPY251219C00315000,315.0,326.84,329.78,333.16,2,311,0.6988555505371095,2025-08-12 13:32:57+00:00,True,331.47,0.3452054794520548,643.4400024414062
call,SPY251219C00320000,320.0,328.55,324.88,328.26,2,189,0.6895172650146486,2025-08-14 14:55:41+00:00,True,326.57,0.3452054794520548,643.4400024414062
call,SPY251219C00325000,325.0,313.12,319.98,323.36,2,158,0.6801789794921876,2025-08-08 13:41:35+00:00,True,321.67,0.3452054794520548,643.4400024414062
call,SPY251219C00330000,330.0,319.0,315.07,318.46,1,187,0.6705965557861329,2025-08-15 13:44:18+00:00,True,316.765,0.3452054794520548,643.4400024414062
call,SPY251219C00335000,335.0,311.74,310.17,313.56,8,165,0.661258270263672,2025-08-13 17:35:36+00:00,True,311.865,0.3452054794520548,643.4400024414062
call,SPY251219C00340000,340.0,308.82,305.27,308.66,2,289,0.6518589501953126,2025-08-14 14:56:47+00:00,True,306.96500000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00345000,345.0,303.13,300.37,303.76,1,407,0.6425816992187501,2025-08-15 18:36:04+00:00,True,302.065,0.3452054794520548,643.4400024414062
call,SPY251219C00350000,350.0,297.8,295.47,298.87,2,966,0.6333654827880859,2025-08-15 13:51:19+00:00,True,297.17,0.3452054794520548,643.4400024414062
call,SPY251219C00355000,355.0,293.13,290.57,293.97,100,560,0.624027197265625,2025-08-15 13:52:07+00:00,True,292.27,0.3452054794520548,643.4400024414062
call,SPY251219C00360000,360.0,288.11,285.68,289.08,2,669,0.6150551190185547,2025-08-15 14:33:49+00:00,True,287.38,0.3452054794520548,643.4400024414062
call,SPY251219C00365000,365.0,283.47,280.78,284.18,2,208,0.6057168334960938,2025-08-15 13:49:25+00:00,True,282.48,0.3452054794520548,643.4400024414062
call,SPY251219C00370000,370.0,278.9,275.89,279.29,4,414,0.5967447552490235,2025-08-15 13:46:00+00:00,True,277.59000000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00375000,375.0,273.23,271.0,274.4,2,504,0.5877116424560547,2025-08-13 15:30:25+00:00,True,272.7,0.3452054794520548,643.4400024414062
call,SPY251219C00380000,380.0,269.07,266.11,269.52,1,1322,0.5788616333007812,2025-08-13 19:34:20+00:00,True,267.815,0.3452054794520548,643.4400024414062
call,SPY251219C00385000,385.0,263.81,261.22,264.63,2,499,0.5698895550537109,2025-08-14 14:22:11+00:00,True,262.925,0.3452054794520548,643.4400024414062
call,SPY251219C00390000,390.0,260.34,256.33,259.75,202,1181,0.5609785113525392,2025-08-13 14:03:58+00:00,True,258.03999999999996,0.3452054794520548,643.4400024414062
call,SPY251219C00395000,395.0,253.72,251.44,254.86,2,634,0.5520064331054688,2025-08-15 14:34:10+00:00,True,253.15,0.3452054794520548,643.4400024414062
call,SPY251219C00400000,400.0,249.21,246.55,249.98,4,2519,0.5430953894042969,2025-08-14 14:22:41+00:00,True,248.265,0.3452054794520548,643.4400024414062
call,SPY251219C00405000,405.0,244.19,241.67,244.99,102,979,0.5329636547851562,2025-08-14 14:25:31+00:00,True,243.32999999999998,0.3452054794520548,643.4400024414062
call,SPY251219C00410000,410.0,239.13,236.79,240.22,2,1540,0.5255784747314454,2025-08-15 14:34:44+00:00,True,238.505,0.3452054794520548,643.4400024414062
call,SPY251219C00415000,415.0,234.86,231.91,235.34,4,1631,0.5167895001220704,2025-08-15 13:46:30+00:00,True,233.625,0.3452054794520548,643.4400024414062
call,SPY251219C00420000,420.0,229.56,227.03,230.47,208,627,0.5081225946044923,2025-08-14 14:26:19+00:00,True,228.75,0.3452054794520548,643.4400024414062
call,SPY251219C00425000,425.0,224.44,222.15,225.6,2,1068,0.53555762298584,2025-08-15 14:34:16+00:00,True,223.875,0.3452054794520548,643.4400024414062
call,SPY251219C00430000,430.0,219.95,217.27,220.73,6,2138,0.5260362338256835,2025-08-14 14:59:19+00:00,True,219.0,0.3452054794520548,643.4400024414062
call,SPY251219C00435000,435.0,214.97,212.4,215.86,100,1422,0.5165148446655273,2025-08-14 14:15:29+00:00,True,214.13,0.3452054794520548,643.4400024414062
call,SPY251219C00440000,440.0,209.95,207.53,211.0,2,1293,0.5071765591430665,2025-08-14 13:53:53+00:00,True,209.265,0.3452054794520548,643.4400024414062
call,SPY251219C00445000,445.0,205.09,202.67,206.13,2,1943,0.49768568725585943,2025-08-15 14:37:00+00:00,True,204.39999999999998,0.3452054794520548,643.4400024414062
call,SPY251219C00450000,450.0,200.7,197.81,201.27,156,2858,0.4883474017333985,2025-08-15 18:20:04+00:00,True,199.54000000000002,0.3452054794520548,643.4400024414062
call,SPY251219C00455000,455.0,196.35,192.95,196.42,2,4256,0.4791922198486328,2025-08-14 14:44:50+00:00,True,194.685,0.3452054794520548,643.4400024414062
call,SPY251219C00460000,460.0,191.0,188.09,191.57,20,1363,0.4700370379638672,2025-08-14 18:14:32+00:00,True,189.82999999999998,0.3452054794520548,643.4400024414062
call,SPY251219C00465000,465.0,186.09,183.24,186.72,4,1329,0.46085133880615237,2025-08-15 17:54:05+00:00,True,184.98000000000002,0.3452054794520548,643.4400024414062
call,SPY251219C00470000,470.0,179.59,178.4,181.88,2,2274,0.45181822601318367,2025-08-15 15:44:59+00:00,True,180.14,0.3452054794520548,643.4400024414062
call,SPY251219C00475000,475.0,176.89,173.56,177.05,8,1563,0.44290718231201176,2025-08-14 14:37:17+00:00,True,175.305,0.3452054794520548,643.4400024414062
call,SPY251219C00480000,480.0,171.22,168.73,172.22,2,2883,0.43399613861083985,2025-08-14 13:50:34+00:00,True,170.475,0.3452054794520548,643.4400024414062
call,SPY251219C00485000,485.0,165.91,163.9,167.4,116,1415,0.42517664672851563,2025-08-13 17:41:17+00:00,True,165.65,0.3452054794520548,643.4400024414062
call,SPY251219C00490000,490.0,155.99,159.08,162.59,1,1265,0.41644870666503897,2025-08-11 14:03:26+00:00,True,160.835,0.3452054794520548,643.4400024414062
call,SPY251219C00495000,495.0,150.0,154.27,157.78,1,1552,0.4076902493286133,2025-08-11 17:56:35+00:00,True,156.025,0.3452054794520548,643.4400024414062
call,SPY251219C00500000,500.0,152.47,150.05,152.99,4,2268,0.3991454129028321,2025-08-13 19:22:24+00:00,True,151.52,0.3452054794520548,643.4400024414062
call,SPY251219C00505000,505.0,148.45,144.69,148.21,1,2078,0.39066161102294916,2025-08-14 14:50:04+00:00,True,146.45,0.3452054794520548,643.4400024414062
call,SPY251219C00510000,510.0,139.46,139.92,143.44,4,1178,0.38223884368896477,2025-08-12 19:26:52+00:00,True,141.68,0.3452054794520548,643.4400024414062
call,SPY251219C00515000,515.0,139.07,135.18,138.68,2,732,0.37387711090087883,2025-08-13 13:33:06+00:00,True,136.93,0.3452054794520548,643.4400024414062
call,SPY251219C00520000,520.0,131.82,130.43,133.93,28,3872,0.3655458953857422,2025-08-15 15:48:32+00:00,True,132.18,0.3452054794520548,643.4400024414062
call,SPY251219C00525000,525.0,126.91,125.7,129.2,1,4447,0.3573367489624023,2025-08-14 17:26:24+00:00,True,127.44999999999999,0.3452054794520548,643.4400024414062
