type,contractSymbol,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,lastTradeDate,inTheMoney,mid,T,S0
call,SPY251219C00645000,645.0,24.5,24.17,24.86,108,7493,0.16974707214355472,2025-08-15 20:14:17+00:00,False,24.515,0.3452054794520548,643.4400024414062
call,SPY251219C00650000,650.0,21.46,21.01,21.64,233,19087,0.16347577255249024,2025-08-15 19:59:35+00:00,False,21.325000000000003,0.3452054794520548,643.4400024414062
call,SPY251219C00655000,655.0,18.48,18.2,18.39,264,7299,0.15589223022460938,2025-08-15 19:59:37+00:00,False,18.295,0.3452054794520548,643.4400024414062
call,SPY251219C00660000,660.0,15.53,15.48,15.66,262,11544,0.1505517074584961,2025-08-15 20:09:35+00:00,False,15.57,0.3452054794520548,643.4400024414062
call,SPY251219C00665000,665.0,13.23,13.11,13.19,1162,5926,0.14565368515014648,2025-08-15 19:58:32+00:00,False,13.149999999999999,0.3452054794520548,643.4400024414062
call,SPY251219C00670000,670.0,10.97,10.92,11.14,34,12419,0.14232730239868163,2025-08-15 20:01:47+00:00,False,11.030000000000001,0.3452054794520548,643.4400024414062
call,SPY251219C00675000,675.0,9.16,8.93,9.06,63,10806,0.13727669372558599,2025-08-15 19:57:20+00:00,False,8.995000000000001,0.3452054794520548,643.4400024414062
call,SPY251219C00680000,680.0,7.38,7.28,7.47,151,33166,0.13442332870483398,2025-08-15 20:13:20+00:00,False,7.375,0.3452054794520548,643.4400024414062
call,SPY251219C00685000,685.0,5.97,5.88,5.98,109,11621,0.13079177322387692,2025-08-15 20:00:22+00:00,False,5.93,0.3452054794520548,643.4400024414062
call,SPY251219C00690000,690.0,4.75,4.75,4.8,783,20355,0.1282740982055664,2025-08-15 20:07:48+00:00,False,4.775,0.3452054794520548,643.4400024414062
call,SPY251219C00695000,695.0,3.92,3.77,3.82,3,6005,0.12607685455322265,2025-08-15 16:12:50+00:00,False,3.795,0.3452054794520548,643.4400024414062
call,SPY251219C00700000,700.0,2.99,2.97,3.02,1468,16913,0.12426107681274415,2025-08-15 20:08:01+00:00,False,2.995,0.3452054794520548,643.4400024414062
call,SPY251219C00705000,705.0,2.37,2.3,2.37,569,2982,0.1227199545288086,2025-08-15 20:00:21+00:00,False,2.335,0.3452054794520548,643.4400024414062
call,SPY251219C00710000,710.0,1.86,1.82,1.85,816,5899,0.1214382290649414,2025-08-15 19:32:24+00:00,False,1.835,0.3452054794520548,643.4400024414062
call,SPY251219C00715000,715.0,1.49,1.42,1.45,70,2636,0.12064477996826173,2025-08-15 19:21:19+00:00,False,1.435,0.3452054794520548,643.4400024414062
call,SPY251219C00720000,720.0,1.17,1.11,1.13,1127,3400,0.12000391723632811,2025-08-15 18:51:55+00:00,False,1.12,0.3452054794520548,643.4400024414062
call,SPY251219C00725000,725.0,0.9,0.87,0.89,812,4562,0.1198208135986328,2025-08-15 19:56:17+00:00,False,0.88,0.3452054794520548,643.4400024414062
call,SPY251219C00730000,730.0,0.71,0.69,0.71,338,3216,0.12006495178222655,2025-08-15 20:14:47+00:00,False,0.7,0.3452054794520548,643.4400024414062
call,SPY251219C00735000,735.0,0.57,0.55,0.57,105,1969,0.12055322814941406,2025-08-15 20:03:10+00:00,False,0.56,0.3452054794520548,643.4400024414062
call,SPY251219C00740000,740.0,0.47,0.45,0.46,37,20626,0.12122460815429686,2025-08-15 19:35:31+00:00,False,0.455,0.3452054794520548,643.4400024414062
call,SPY251219C00745000,745.0,0.4,0.36,0.38,11,2575,0.12232322998046877,2025-08-15 13:39:11+00:00,False,0.37,0.3452054794520548,643.4400024414062
call,SPY251219C00750000,750.0,0.31,0.3,0.31,24,9107,0.12317771362304689,2025-08-15 14:39:35+00:00,False,0.305,0.3452054794520548,643.4400024414062
call,SPY251219C00755000,755.0,0.27,0.25,0.26,11,1088,0.1245204736328125,2025-08-15 15:59:26+00:00,False,0.255,0.3452054794520548,643.4400024414062
call,SPY251219C00760000,760.0,0.23,0.21,0.22,56,939,0.125985302734375,2025-08-15 19:26:58+00:00,False,0.215,0.3452054794520548,643.4400024414062
call,SPY251219C00765000,765.0,0.19,0.18,0.19,82,3421,0.12769427001953126,2025-08-15 20:10:16+00:00,False,0.185,0.3452054794520548,643.4400024414062
call,SPY251219C00770000,770.0,0.16,0.15,0.16,2,996,0.12915909912109375,2025-08-15 16:16:41+00:00,False,0.155,0.3452054794520548,643.4400024414062
call,SPY251219C00775000,775.0,0.11,0.12,0.14,13,1347,0.13086806640624998,2025-08-12 19:46:53+00:00,False,0.13,0.3452054794520548,643.4400024414062
call,SPY251219C00780000,780.0,0.13,0.11,0.12,24,5403,0.13233289550781252,2025-08-15 16:37:50+00:00,False,0.11499999999999999,0.3452054794520548,643.4400024414062
call,SPY251219C00785000,785.0,0.11,0.09,0.1,1,1256,0.13355358642578125,2025-08-14 19:52:36+00:00,False,0.095,0.3452054794520548,643.4400024414062
call,SPY251219C00790000,790.0,0.1,0.08,0.09,1,1085,0.13575083007812502,2025-08-15 18:55:42+00:00,False,0.08499999999999999,0.3452054794520548,643.4400024414062
call,SPY251219C00795000,795.0,0.07,0.07,0.08,1,1428,0.13770393554687502,2025-08-13 13:52:33+00:00,False,0.07500000000000001,0.3452054794520548,643.4400024414062
call,SPY251219C00800000,800.0,0.07,0.07,0.08,22,3493,0.14112187011718752,2025-08-15 19:26:24+00:00,False,0.07500000000000001,0.3452054794520548,643.4400024414062
call,SPY251219C00805000,805.0,0.06,0.06,0.07,2,6237,0.14258669921875,2025-08-13 14:50:04+00:00,False,0.065,0.3452054794520548,643.4400024414062
call,SPY251219C00810000,810.0,0.03,0.05,0.06,50,2008,0.14405152832031248,2025-08-01 13:43:28+00:00,False,0.055,0.3452054794520548,643.4400024414062
call,SPY251219C00815000,815.0,0.05,0.05,0.06,2,3661,0.147469462890625,2025-08-13 14:38:16+00:00,False,0.055,0.3452054794520548,643.4400024414062
call,SPY251219C00820000,820.0,0.05,0.04,0.05,15,589,0.14795773925781253,2025-08-15 16:52:05+00:00,False,0.045,0.3452054794520548,643.4400024414062
call,SPY251219C00825000,825.0,0.04,0.04,0.05,1,1096,0.15137567382812503,2025-08-14 17:27:32+00:00,False,0.045,0.3452054794520548,643.4400024414062
call,SPY251219C00830000,830.0,0.04,0.04,0.05,969,2053,0.15430533203125002,2025-08-14 18:49:02+00:00,False,0.045,0.3452054794520548,643.4400024414062
call,SPY251219C00835000,835.0,0.03,0.03,0.04,36,1230,0.15430533203125002,2025-08-13 13:53:27+00:00,False,0.035,0.3452054794520548,643.4400024414062
call,SPY251219C00840000,840.0,0.03,0.03,0.04,4,5687,0.1577232666015625,2025-08-14 16:06:12+00:00,False,0.035,0.3452054794520548,643.4400024414062
